title,date,site_name,city,county,state,country,fqa_db_region,fqa_db_publication_year,fqa_db_description,custom_fqa_db_name,custom_fqa_db_description,practitioner,latitude,longitude,weather_notes,duration_notes,community_type_notes,other_notes,private_public,total_mean_c,native_mean_c,total_fqi,native_fqi,adjusted_fqi,c_value_zero,c_value_low,c_value_mid,c_value_high,native_tree_mean_c,native_shrub_mean_c,native_herbaceous_mean_c,total_species,native_species,non_native_species,mean_wetness,native_mean_wetness,tree,shrub,vine,forb,grass,sedge,rush,fern,bryophyte,annual,perennial,biennial,native_annual,native_perennial,native_biennial
Wetland 9,2021-09-28,EB Dupage River,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,M Kennedy,NA,NA,NA,NA,NA,NA,Public,1.8,2.2,4.4,4.9,20.1,33.3,33.3,33.3,0,1.7,NA,3,6,5,1,-1,-1,3,0,0,2,1,0,0,0,0,2,4,0,2,3,0
Wetland 10,2021-09-28,EB Dupage River,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,M Kennedy,NA,NA,NA,NA,NA,NA,Public,0,0,0,0,0,100,0,0,0,0,NA,NA,2,1,1,-0.5,0,1,0,0,0,1,0,0,0,0,0,2,0,0,1,0
Wetland 1,2021-09-27,EB Dupage River,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,M Kennedy,NA,NA,NA,NA,NA,NA,Public,1.3,1.3,2.6,2.6,13,50,25,25,0,NA,NA,1.3,4,4,0,-0.8,-0.8,0,0,0,4,0,0,0,0,0,4,0,0,4,0,0
Wetland 2,2021-09-27,EB Dupage River,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,M Kennedy,NA,NA,NA,NA,NA,NA,Public,2,2,2.8,2.8,20,0,100,0,0,NA,NA,2,2,2,0,-1.5,-1.5,0,0,0,2,0,0,0,0,0,1,1,0,1,1,0
Wetland 4,2021-09-27,EB Dupage River,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,M Kennedy,NA,NA,NA,NA,NA,NA,Public,2.3,4.5,4.6,6.4,31.8,50,0,50,0,NA,NA,4.5,4,2,2,-1.8,-2,0,0,0,3,1,0,0,0,0,1,3,0,1,1,0
Wetland 5,2021-09-27,EB Dupage River,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,M Kennedy,NA,NA,NA,NA,NA,NA,Public,0.3,0.5,0.5,0.7,4.1,66.7,33.3,0,0,0.5,NA,NA,3,2,1,-0.7,-0.5,2,0,0,0,1,0,0,0,0,0,3,0,0,2,0
Kelly's Woods Fall 2021,2021-09-27,Kelly's Woods,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Aaron Zeleske,NA,WI,Beautiful!  The most perfect September day in Wisconsin,2 hours.,NA,NA,Public,2.3,3.1,20.8,24,26.5,41.5,26.8,24.4,7.3,3.4,2.3,3.1,82,60,22,0.5,0.4,24,11,3,40,3,0,0,1,0,4,72,6,4,53,3
Base Seed List,2021-09-06,BFPD upland mesic,byron,ogle,illinois,usa,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Russell Brunner,NA,Illinois,NA,NA,NA,NA,Public,7.3,7.3,37.9,37.9,73,0,7.4,33.3,59.3,NA,NA,7.3,27,27,0,1.4,1.4,0,0,0,27,0,0,0,0,0,0,27,0,0,27,0
2021 Aisle 2 pollinator mix,2021-09-01,Solar Phase 2,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,ART,NA,NA,NA,NA,NA,"Species in bloom: TRIREP, ERIANN, SOLCAR, ERICAN, CIRVUL, TRIPRA, SOLNEM, CASFAS, MONPUN, RUDHIR, LYCALB, LOTCOR, URTDIO, ASTERI, SICANG, CIRDIS, IPOPUR, DATSTR, SOLDUL, BIDBIP, PHYAME, CROGLA, PERPEN, POTNOR, EREHIE, EPICOL, LAPCAN

6/11/21: Observed PENHIR in bloom in shade (not sure if Aisle 2 or 3)",Public,1.2,2.1,9.3,12.1,15.6,65,23.3,8.3,3.3,NA,3,2.1,60,33,27,0.5,0.2,1,1,5,46,5,2,0,0,0,21,34,5,11,20,2
2021 solar phase 2 combined inventory,2021-09-01,Solar Phase 2,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,ART,NA,NA,NA,NA,NA,NA,Public,1.6,2.6,15,19.3,20.6,56.8,25,11.4,6.8,1.3,1.5,2.7,88,55,33,0.6,0.4,4,4,6,66,5,2,0,1,0,23,60,5,12,41,2
2021 Aisle 3 pollinator mix,2021-08-31,Solar Phase 2,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,ART,NA,NA,NA,NA,NA,"Species in bloom:
ERICAN, EUPSER, RUDHIR, VERSTR, SICANG, PERPEN, CIRDIS, LACSER, ABUTHE, CORLAN, ERIANN, CASFAS, SOLCAR, SOLNEM, ASTERI, BIDBIP, CIRVUL, ALLCER, EPICOL, ASCTUB, LYCALB, PHYAME, IPOPUR, SOLDUL, CIRCAN, ACARHO, TRAOHI, VERURT, TRIREP, ASTAZU, TAROFF


6/11/21: Observed PENHIR in bloom in shade (not sure if Aisle 2 or 3)",Public,1.7,2.7,14.2,17.9,21.4,57.1,24.3,11.4,7.1,1.3,1.5,2.8,70,44,26,0.6,0.4,4,4,4,52,3,2,0,1,0,19,46,5,10,32,2
August 2021 Hinman,2021-08-25,835 Hinman Ave,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Grace Hochberg,NA,NA,NA,NA,NA,NA,Public,4.4,6.4,19.2,23.1,52.9,36.8,5.3,15.8,42.1,NA,8.3,5.8,19,13,6,0.6,0.4,0,4,0,12,1,0,0,2,0,1,18,0,0,13,0
2021 Big Mary No Mow Inventory,2021-08-24,Big Mary - No Mow,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,ART,NA,NA,NA,NA,NA,NA,Public,0.4,0.9,1.6,2.4,5.8,82.4,17.6,0,0,2,NA,0.4,17,7,10,1,0.9,4,0,1,9,3,0,0,0,0,4,10,3,1,5,1
2021 Big Mary Planted Inventory,2021-08-24,Big Mary - No Mow,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,ART,NA,NA,NA,NA,NA,"Planted ~6/1/17
But supplement seeded in both May 2018 and Apr 2019. By summer 2021 it's looking amazing.

HELDIV = unknown Helianthus",Public,3,4.1,24.6,28.7,35.1,37.3,17.9,28.4,16.4,NA,3,4.1,67,49,18,0.7,0.5,2,2,0,52,10,1,0,0,0,8,52,7,4,42,3
August 2021 Ingraham 900,2021-08-24,Ingraham Park,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Grace Hochberg,NA,NA,NA,NA,NA,NA,Public,3.3,6.7,14,20.1,47.4,50,16.7,5.6,27.8,NA,NA,6.7,18,9,9,-0.6,-0.8,1,0,0,7,8,2,0,0,0,1,17,0,0,9,0
August 2021 Ingraham 500,2021-08-24,Ingraham Park,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Grace Hochberg,NA,NA,NA,NA,NA,NA,Public,3.9,4.9,19.1,21.4,43.6,25,20.8,33.3,20.8,NA,NA,4.9,24,19,5,0.5,0.3,0,1,0,20,3,0,0,0,0,2,22,0,0,19,0
August 2021 Ingraham 1300,2021-08-24,Ingraham Park,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Grace Hochberg,NA,NA,NA,NA,NA,NA,Public,3.4,5.5,16.7,21.3,43.5,41.7,12.5,20.8,25,NA,5,5.5,24,15,9,0,-0.5,0,2,0,14,7,1,0,0,0,4,20,0,2,13,0
August 2021 Orrington,2021-08-24,Orrington Elementary,Evanston,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Grace Hochberg,NA,NA,NA,NA,NA,NA,Public,3.2,4.5,18.4,21.6,37.6,45.5,15.2,18.2,21.2,1.5,9,4.4,33,23,10,0.5,0.1,6,4,0,16,5,2,0,0,0,2,26,5,1,20,2
August 2021 Ryan NE,2021-08-23,835 Hinman Ave,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Grace Hochberg,NA,NA,NA,NA,NA,NA,Public,2,3.9,9.8,13.5,27.6,58.3,16.7,12.5,12.5,2,7,4,24,12,12,0.7,0.5,3,1,0,15,4,0,0,1,0,2,20,2,0,12,0
August 2021 Ryan NW,2021-08-23,835 Hinman Ave,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Grace Hochberg,NA,NA,NA,NA,NA,NA,Public,1.9,3.4,9.9,13.2,25.3,63,11.1,11.1,14.8,1,7,3,27,15,12,0.5,0.5,2,2,0,17,6,0,0,0,0,5,21,1,4,11,0
August 2021 Ryan SE,2021-08-23,835 Hinman Ave,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Grace Hochberg,NA,NA,NA,NA,NA,NA,Public,2.1,3.5,10.1,13.1,27.3,56.5,13,13,17.4,1,7,3.1,23,14,9,0.5,0.4,3,2,0,13,5,0,0,0,0,5,18,0,4,10,0
August 2021 Ryan SW,2021-08-23,835 Hinman Ave,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Grace Hochberg,NA,NA,NA,NA,NA,NA,Public,1.7,3.3,7.8,10.9,23.9,61.9,14.3,9.5,14.3,1,7,3.1,21,11,10,0.5,0.3,2,1,0,15,3,0,0,0,0,5,15,1,2,9,0
2021 100% sun,2021-08-19,Solar Phase 1,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,ART,NA,NA,NA,NA,NA,"Species in Bloom: PHYAME, ARTLUD, SOLCAR, CORLAN, LACSER, URTDIO, LYCALB, SOLCAN, SOLULM, ERICAN, VERSTR, VERHAS, CIRVUL, STEGRA, VERURT, RUDHIR, PLALAN, ASCTUB, AGAFOE, ERIANN, PERPEN, BIDBIP, EUPSER, TRIPRA, TRIREP, MONPUN, ERYYUC, PHYSUB, CUSGRO, LOTCOR, BERINC, EUPPER, TRAOHI, RUEHUM, HELOCC

9/17/21: Also saw SOLSPE in bloom",Public,1.8,3.1,13.3,17.5,23.6,56.4,18.2,16.4,9.1,NA,3,3.1,55,32,23,0.8,0.5,1,3,2,43,4,2,0,0,0,7,45,3,4,27,1
2021 50% Sun,2021-08-19,Solar Phase 1,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,ART,NA,NA,NA,NA,NA,"Transects 3, 6

Species in Bloom: SOLCAR, VERSTR, LYCALB, PHYAME, VERHAS, ARTLUD, ERICAN, VERURT, ACHMIL, SOLULM, MONPUN, AGAFOE, STEGRA, CORLAN, BIDBIP, PILPUM, RUDHIR, URTDIO, EUPPER, VERALA, EREHIE, POTREC, HELOCC, FALSCA, BERINC, CHRLEU, VERALA, POTREC, LACCAN, LACSER, ERIANN, PERPEN, EUPSER",Public,1.7,2.7,12.9,16.2,21.3,51.7,25.9,17.2,5.2,NA,3.5,2.7,58,36,22,0.6,0.2,1,3,4,42,6,2,0,0,0,10,45,3,6,28,2
2021 CRP 9B inventory,2021-08-16,CRP 9B/Gjemere,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,ART,NA,NA,NA,NA,NA,"Abundance notes are included in the field book. 

Dominant/widespread spp. include:
RATPIN, ANDGER, RUDHIR, MONFIS, ELYVIR, ELYCAN, SOLCAN, CIRARV, PHAARU",Public,2.3,3.1,21.9,25.2,26.4,42.9,24.2,25.3,7.7,3,3.5,3.1,91,66,25,0.5,0.3,3,2,3,67,14,2,0,0,0,12,71,8,10,52,4
Lake Minear 2021,2021-08-16,Minear,Libertyville,Lake,Illinois,USA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,GERARD I URBANOZO,NA,IL,NA,NA,NA,NA,Public,4,4,6.9,6.9,40,0,66.7,0,33.3,NA,NA,4,3,3,0,-2,-2,0,0,0,3,0,0,0,0,0,1,2,0,1,2,0
Tower Lake,2021-08-16,Tower Lake,Tower Lake,Lake,Illinois,USA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,GERARD I URBANOZO,NA,IL,NA,NA,NA,NA,Public,3.9,4.4,11.7,12.4,41.5,11.1,44.4,22.2,22.2,NA,NA,4.4,9,8,1,-2,-2,0,0,0,9,0,0,0,0,0,2,7,0,2,6,0
Studio Gang Green Roof,2021-08-13,Studio Gang Green Roof,Chicago,Cook,IL,USA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Chicago,Cook,IL,"73 degrees, partly cloudy",9am-12pm,NA,NA,Public,3.6,5.1,31,37.1,43.2,36.5,12.2,24.3,27,3.3,10,5.2,74,53,21,0.7,0.5,8,1,3,54,7,0,0,1,0,5,65,4,2,49,2
IG Dog Pond,2021-08-05,Independence Grove Dog,Libertyville,Lake,Illinois,USA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,James Fitsgerald,NA,NA,NA,NA,NA,NA,Public,1.5,2.3,3.7,4.6,18.8,33.3,66.7,0,0,NA,NA,2.3,6,4,2,-2,-2,0,0,0,6,0,0,0,0,0,1,5,0,0,4,0
Island Lake 2021,2021-08-05,Island Lake,Island Lake,Lake,Illinois,USA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,GERARD I URBANOZO,NA,IL,NA,NA,NA,NA,Public,2,2,3.5,3.5,20,0,100,0,0,NA,NA,2,3,3,0,-2,-2,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0
Nippersink LCFP,2021-08-05,Nippersink (LCFP),Round Lake,Lake,Illinois,USA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,James FitzGerald,NA,NA,NA,NA,NA,NA,Public,1,2,1.4,2,14.1,50,50,0,0,NA,NA,2,2,1,1,-2,-2,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0
Lake Forest Dog Pond,2021-08-05,Prairie Wolf Dog Pond,Lake Forest,Lake,Illinois,USA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,James Fitzgerald,NA,NA,NA,NA,NA,NA,Public,2.5,3,6.1,6.7,27.4,16.7,50,33.3,0,NA,NA,3,6,5,1,-2,-2,0,0,0,6,0,0,0,0,0,1,5,0,1,4,0
Slocum,2021-08-04,Slocum Lake,Slocum Lake,Lake,Illinois,USA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,GERARD I URBANOZO,NA,IL,NA,NA,NA,NA,Public,1.4,2.3,3.1,4,17.8,40,60,0,0,NA,NA,2.3,5,3,2,-2,-2,0,0,0,5,0,0,0,0,0,0,5,0,0,3,0
July 2021 Orrington,2021-08-02,835 Hinman Ave,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Vincent Wang,NA,NA,NA,NA,NA,NA,Public,3.1,4.2,17,19.7,36,46.7,13.3,20,20,1.5,9.5,4.2,30,22,8,0.7,0.5,5,3,0,18,3,1,0,0,0,4,24,2,4,18,0
July 2021 Eggleston SRG,2021-08-02,Eggleston,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Vincent Wang,NA,NA,NA,NA,NA,NA,Public,3.9,4.7,16.5,18.2,42.9,16.7,38.9,16.7,27.8,NA,NA,4.7,18,15,3,0.4,0.3,0,0,0,17,1,0,0,0,0,0,16,2,0,15,0
3A NW,2021-07-31,Mettawa,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Mettawa,NA,NA,NA,NA,NA,NA,Public,1.1,2.7,2.9,4.7,17.7,85.7,0,0,14.3,NA,NA,2.7,7,3,4,0.4,0.7,0,0,0,4,3,0,0,0,0,2,4,1,1,2,0
4D NW,2021-07-31,Mettawa,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Mettawa,NA,NA,NA,NA,NA,NA,Public,0,0,0,0,0,100,0,0,0,NA,NA,0,6,1,5,0.3,1,0,0,0,3,3,0,0,0,0,0,5,1,0,1,0
3E NE,2021-07-31,Mettawa,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Mettawa,NA,NA,NA,NA,NA,NA,Public,0.6,2,1.6,2.8,10.7,71.4,28.6,0,0,NA,NA,2,7,2,5,0.9,-0.5,0,0,0,4,2,1,0,0,0,1,5,1,0,2,0
2E SW,2021-07-31,Mettawa,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Mettawa,NA,NA,NA,NA,NA,NA,Public,0,0,0,0,0,100,0,0,0,NA,NA,0,5,1,4,1.2,1,0,0,0,3,2,0,0,0,0,1,4,0,0,1,0
5D SW,2021-07-31,Mettawa,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Mettawa,NA,NA,NA,NA,NA,NA,Public,0.4,1.5,1.1,2.1,8,85.7,14.3,0,0,NA,NA,1.5,7,2,5,0.4,0,0,0,0,4,2,1,0,0,0,0,6,1,0,2,0
2F SE*,2021-07-31,Mettawa,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Mettawa,NA,NA,NA,NA,NA,NA,Public,0.5,3,1.2,3,12.2,83.3,16.7,0,0,NA,NA,3,6,1,5,0.5,-1,0,0,0,3,2,1,0,0,0,0,6,0,0,1,0
2F SW,2021-07-31,Mettawa,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Mettawa,NA,NA,NA,NA,NA,NA,Public,0.2,0.5,0.4,0.7,3.2,80,20,0,0,NA,NA,0.5,5,2,3,1,0.5,0,0,0,4,1,0,0,0,0,0,5,0,0,2,0
3C NW,2021-07-31,Mettawa,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Mettawa,NA,NA,NA,NA,NA,NA,Public,0,0,0,0,0,100,0,0,0,NA,NA,0,3,1,2,0.3,-1,0,0,0,1,2,0,0,0,0,1,2,0,1,0,0
3F NW,2021-07-31,Mettawa,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Mettawa,NA,NA,NA,NA,NA,NA,Public,1,1.7,2.2,2.9,13.2,60,20,20,0,NA,NA,1.7,5,3,2,0.8,0.3,0,0,0,4,1,0,0,0,0,1,4,0,0,3,0
3F NE,2021-07-31,Mettawa,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Mettawa,NA,NA,NA,NA,NA,NA,Public,0.3,0.5,0.5,0.7,4.1,66.7,33.3,0,0,NA,NA,0.5,3,2,1,0.7,0.5,0,0,0,2,1,0,0,0,0,0,3,0,0,2,0
3D NE,2021-07-31,Mettawa,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Mettawa,NA,NA,NA,NA,NA,NA,Public,0.8,1.7,2,2.9,12,66.7,16.7,16.7,0,NA,NA,1.7,6,3,3,0,0.3,0,0,0,4,2,0,0,0,0,0,6,0,0,3,0
3D SW,2021-07-31,Mettawa,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Mettawa,NA,NA,NA,NA,NA,NA,Public,0.8,2,1.8,2.8,12.6,80,0,20,0,NA,NA,2,5,2,3,0.8,0.5,0,0,0,4,1,0,0,0,0,0,4,1,0,2,0
5E SW,2021-07-31,Mettawa,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Mettawa,NA,NA,NA,NA,NA,NA,Public,0.7,2,1.7,2.8,11.5,83.3,0,16.7,0,NA,NA,2,6,2,4,1,0.5,0,0,0,5,1,0,0,0,0,0,5,1,0,1,1
5C SW,2021-07-31,Mettawa,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Mettawa,NA,NA,NA,NA,NA,NA,Public,1.8,2.3,5.7,6.5,20.6,60,20,10,10,NA,NA,2.3,10,8,2,0.5,0.1,0,0,0,7,2,1,0,0,0,3,6,1,3,5,0
5C NE,2021-07-31,Mettawa,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Mettawa,NA,NA,NA,NA,NA,NA,Public,0.2,0.3,0.5,0.5,2.1,83.3,16.7,0,0,NA,NA,0.3,6,3,3,1.2,0.7,0,0,0,6,0,0,0,0,0,3,3,0,1,2,0
5B SE,2021-07-31,Mettawa,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Mettawa,NA,NA,NA,NA,NA,NA,Public,0.7,1.4,2.2,3.1,9.9,70,30,0,0,NA,NA,1.4,10,5,5,0.5,0,0,0,0,7,2,1,0,0,0,2,7,1,1,4,0
5B NW,2021-07-31,Mettawa,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Mettawa,NA,NA,NA,NA,NA,NA,Public,0.7,1.2,2.2,2.9,9.3,80,10,10,0,NA,NA,1.2,10,6,4,0.6,0.3,0,0,0,8,1,1,0,0,0,3,6,1,3,3,0
4E NE,2021-07-31,Mettawa,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Mettawa,NA,NA,NA,NA,NA,NA,Public,0.3,0.6,0.9,1.3,4.5,88.9,11.1,0,0,NA,NA,0.6,9,5,4,0.8,0.6,0,0,0,7,1,1,0,0,0,1,5,3,1,3,1
4E SW,2021-07-31,Mettawa,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Mettawa,NA,NA,NA,NA,NA,NA,Public,1.5,2,4.2,4.9,17.3,62.5,25,0,12.5,NA,NA,2,8,6,2,0.4,0.3,0,0,0,4,3,1,0,0,0,2,6,0,2,4,0
4B NE,2021-07-31,Mettawa,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Mettawa,NA,NA,NA,NA,NA,NA,Public,1,2,2.4,3.5,14.1,66.7,33.3,0,0,NA,NA,2,6,3,3,0.2,-0.3,0,0,0,4,1,1,0,0,0,0,5,1,0,3,0
4A NW,2021-07-31,Mettawa,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Mettawa,NA,NA,NA,NA,NA,NA,Public,0,0,0,0,0,100,0,0,0,NA,NA,NA,2,0,2,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0
4A SW,2021-07-31,Mettawa,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Mettawa,NA,NA,NA,NA,NA,NA,Public,0,0,0,0,0,100,0,0,0,NA,NA,NA,4,0,4,1.3,0,0,0,0,3,1,0,0,0,0,0,4,0,0,0,0
July 2021 Ryan,2021-07-30,835 Hinman Ave,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Cameron Moore,NA,NA,NA,NA,NA,NA,Public,3.7,5.5,11.1,13.5,44.9,33.3,22.2,11.1,33.3,1,7,6.3,9,6,3,0.9,0.3,1,1,0,6,1,0,0,0,0,0,9,0,0,6,0
July 2021 Eggleston PG-S,2021-07-30,835 Hinman Ave,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Vincent Wang,NA,NA,NA,NA,NA,NA,Public,2.9,3.5,13.3,14.4,31.5,33.3,28.6,23.8,14.3,2.3,NA,3.8,21,17,4,0.9,0.7,3,0,0,17,1,0,0,0,0,1,18,2,1,16,0
July 2021 Eggelston WRG,2021-07-30,Eggleston,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Vincent Wang,NA,NA,NA,NA,NA,NA,Public,1.5,2.6,6.9,9,19.7,52.4,28.6,19,0,2.5,NA,2.6,21,12,9,0.3,0,4,1,2,13,1,0,0,0,0,3,16,2,3,9,0
July 2021 Eggleston PG-N,2021-07-30,Eggleston,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Vincent Wang,NA,NA,NA,NA,NA,NA,Public,3.6,4,15.3,16,37.7,22.2,27.8,33.3,16.7,5,NA,3.9,18,16,2,0.8,0.7,1,0,0,16,1,0,0,0,0,2,14,2,2,14,0
July 2021 UCE South,2021-07-29,835 Hinman Ave,NA,NA,NA,NA,Chicago Region USACE,2017,https://www.lrc.usace.army.mil/Missions/Regulatory/FQA.aspx,NA,NA,Cameron Moore,NA,NA,NA,NA,NA,NA,Public,3.4,4.6,18.9,22.1,39.6,35.5,25.8,12.9,25.8,2.5,7.5,4.5,31,23,8,0.4,0.3,5,2,0,21,2,1,0,0,0,0,31,0,0,23,0
